restaurant_name,day_of_week,open_time,close_time
The Cowfish Sushi Burger Bar,0,11:00:00,22:00:00
The Cowfish Sushi Burger Bar,1,11:00:00,22:00:00
The Cowfish Sushi Burger Bar,2,11:00:00,22:00:00
The Cowfish Sushi Burger Bar,3,11:00:00,22:00:00
The Cowfish Sushi Burger Bar,4,11:00:00,22:00:00
The Cowfish Sushi Burger Bar,5,11:00:00,22:00:00
The Cowfish Sushi Burger Bar,6,11:00:00,22:00:00
Morgan St Food Hall,0,11:00:00,21:30:00
Morgan St Food Hall,1,11:00:00,21:30:00
Morgan St Food Hall,2,11:00:00,21:30:00
Morgan St Food Hall,3,11:00:00,21:30:00
Morgan St Food Hall,4,11:00:00,21:30:00
Morgan St Food Hall,5,11:00:00,21:30:00
Morgan St Food Hall,6,11:00:00,21:30:00
Beasley's Chicken + Honey,0,11:00:00,12:00:00
Beasley's Chicken + Honey,1,11:00:00,12:00:00
Beasley's Chicken + Honey,2,11:00:00,12:00:00
Beasley's Chicken + Honey,3,11:00:00,12:00:00
Beasley's Chicken + Honey,4,11:00:00,12:00:00
Beasley's Chicken + Honey,5,11:00:00,12:00:00
Beasley's Chicken + Honey,6,11:00:00,22:00:00
Garland,1,11:30:00,22:00:00
Garland,2,11:30:00,22:00:00
Garland,3,11:30:00,22:00:00
Garland,4,11:30:00,22:00:00
Garland,6,11:30:00,22:00:00
Garland,5,17:30:00,23:00:00
Crawford and Son,0,11:30:00,22:00:00
Crawford and Son,1,11:30:00,22:00:00
Crawford and Son,2,11:30:00,22:00:00
Crawford and Son,3,11:30:00,22:00:00
Crawford and Son,4,11:30:00,22:00:00
Crawford and Son,5,11:30:00,22:00:00
Crawford and Son,6,11:30:00,22:00:00
Death and Taxes,0,17:00:00,22:00:00
Death and Taxes,1,17:00:00,22:00:00
Death and Taxes,2,17:00:00,22:00:00
Death and Taxes,3,17:00:00,22:00:00
Death and Taxes,4,17:00:00,22:00:00
Death and Taxes,5,17:00:00,22:00:00
Death and Taxes,6,17:00:00,22:00:00
Caffe Luna,0,11:00:00,00:00:00
Caffe Luna,1,11:00:00,00:00:00
Caffe Luna,2,11:00:00,00:00:00
Caffe Luna,3,11:00:00,00:00:00
Caffe Luna,4,11:00:00,00:00:00
Caffe Luna,5,11:00:00,00:00:00
Caffe Luna,6,11:00:00,00:00:00
Bida Manda,0,11:30:00,22:00:00
